cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 1m1s | Tot: 0ms | Loss: 0.635 | Acc: 82.812% (212/256)              
 [>................................................................] 2/79   Step: 2s119ms | Tot: 2s119ms | Loss: 0.651 | Acc: 82.812% (424/512)              
 [=>...............................................................] 3/79   Step: 973ms | Tot: 3s92ms | Loss: 0.672 | Acc: 83.073% (638/768)              
 [==>..............................................................] 4/79   Step: 1s133ms | Tot: 4s226ms | Loss: 0.676 | Acc: 83.203% (852/1024)              
 [===>.............................................................] 5/79   Step: 965ms | Tot: 5s191ms | Loss: 0.662 | Acc: 83.984% (1075/1280)              
 [====>............................................................] 6/79   Step: 964ms | Tot: 6s155ms | Loss: 0.702 | Acc: 83.398% (1281/1536)              
 [====>............................................................] 7/79   Step: 962ms | Tot: 7s118ms | Loss: 0.681 | Acc: 83.817% (1502/1792)              
 [=====>...........................................................] 8/79   Step: 966ms | Tot: 8s85ms | Loss: 0.674 | Acc: 83.789% (1716/2048)              
 [======>..........................................................] 9/79   Step: 1s59ms | Tot: 9s144ms | Loss: 0.667 | Acc: 83.984% (1935/2304)              
 [=======>.........................................................] 10/79   Step: 964ms | Tot: 10s109ms | Loss: 0.655 | Acc: 84.258% (2157/2560)              
 [========>........................................................] 11/79   Step: 978ms | Tot: 11s87ms | Loss: 0.647 | Acc: 84.375% (2376/2816)              
 [=========>.......................................................] 12/79   Step: 961ms | Tot: 12s49ms | Loss: 0.635 | Acc: 84.766% (2604/3072)              
 [=========>.......................................................] 13/79   Step: 1s65ms | Tot: 13s115ms | Loss: 0.629 | Acc: 84.976% (2828/3328)              
 [===================>.............................................] 13/40   Step: 433ms | Tot: 5s270ms | Loss: 1.239 | Acc: 70.493% (2346/3328)              
 [=====================>...........................................] 14/40   Step: 415ms | Tot: 5s685ms | Loss: 1.252 | Acc: 70.340% (2521/3584)              
 [======================>..........................................] 15/40   Step: 415ms | Tot: 6s101ms | Loss: 1.241 | Acc: 70.260% (2698/3840)              
 [========================>........................................] 16/40   Step: 415ms | Tot: 6s517ms | Loss: 1.246 | Acc: 70.117% (2872/4096)              
 [==========================>......................................] 17/40   Step: 416ms | Tot: 6s933ms | Loss: 1.250 | Acc: 70.106% (3051/4352)              
 [===========================>.....................................] 18/40   Step: 516ms | Tot: 7s449ms | Loss: 1.249 | Acc: 69.944% (3223/4608)              
 [=============================>...................................] 19/40   Step: 415ms | Tot: 7s865ms | Loss: 1.259 | Acc: 69.799% (3395/4864)              
 [==============================>..................................] 20/40   Step: 414ms | Tot: 8s280ms | Loss: 1.250 | Acc: 69.863% (3577/5120)              
 [================================>................................] 21/40   Step: 415ms | Tot: 8s695ms | Loss: 1.254 | Acc: 69.885% (3757/5376)              
 [==================================>..............................] 22/40   Step: 414ms | Tot: 9s110ms | Loss: 1.250 | Acc: 69.922% (3938/5632)              
 [===================================>.............................] 23/40   Step: 419ms | Tot: 9s529ms | Loss: 1.260 | Acc: 69.820% (4111/5888)              
 [=====================================>...........................] 24/40   Step: 512ms | Tot: 10s41ms | Loss: 1.262 | Acc: 69.889% (4294/6144)              
 [=======================================>.........................] 25/40   Step: 415ms | Tot: 10s456ms | Loss: 1.261 | Acc: 69.875% (4472/6400)              
 [========================================>........................] 26/40   Step: 414ms | Tot: 10s871ms | Loss: 1.259 | Acc: 69.847% (4649/6656)              
 [==========================================>......................] 27/40   Step: 414ms | Tot: 11s286ms | Loss: 1.263 | Acc: 69.821% (4826/6912)              
 [===========================================>.....................] 28/40   Step: 414ms | Tot: 11s701ms | Loss: 1.256 | Acc: 69.866% (5008/7168)              
 [=============================================>...................] 29/40   Step: 416ms | Tot: 12s117ms | Loss: 1.252 | Acc: 69.908% (5190/7424)              
 [===============================================>.................] 30/40   Step: 513ms | Tot: 12s630ms | Loss: 1.254 | Acc: 69.935% (5371/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s45ms | Loss: 1.258 | Acc: 69.897% (5547/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s459ms | Loss: 1.261 | Acc: 69.885% (5725/8192)              
 [====================================================>............] 33/40   Step: 414ms | Tot: 13s874ms | Loss: 1.261 | Acc: 69.839% (5900/8448)              
 [=====================================================>...........] 34/40   Step: 414ms | Tot: 14s288ms | Loss: 1.270 | Acc: 69.669% (6064/8704)              
 [=======================================================>.........] 35/40   Step: 415ms | Tot: 14s703ms | Loss: 1.273 | Acc: 69.665% (6242/8960)              
 [========================================================>........] 36/40   Step: 493ms | Tot: 15s196ms | Loss: 1.270 | Acc: 69.705% (6424/9216)              
 [==========================================================>......] 37/40   Step: 370ms | Tot: 15s567ms | Loss: 1.275 | Acc: 69.595% (6592/9472)              
 [============================================================>....] 38/40   Step: 370ms | Tot: 15s938ms | Loss: 1.266 | Acc: 69.768% (6787/9728)              
 [=============================================================>...] 39/40   Step: 370ms | Tot: 16s309ms | Loss: 1.272 | Acc: 69.681% (6957/9984)              
 [===============================================================>.] 40/40   Step: 372ms | Tot: 16s681ms | Loss: 1.272 | Acc: 69.680% (6968/10000)
Saving with better validation accuracy model: 69.680..

Epoch: 2
 [>................................................................] 1/79   Step: 2s87ms | Tot: 0ms | Loss: 0.275 | Acc: 91.406% (234/256)              
 [>................................................................] 2/79   Step: 965ms | Tot: 965ms | Loss: 0.336 | Acc: 90.039% (461/512)              
 [=>...............................................................] 3/79   Step: 965ms | Tot: 1s930ms | Loss: 0.336 | Acc: 90.625% (696/768)              
 [==>..............................................................] 4/79   Step: 964ms | Tot: 2s895ms | Loss: 0.342 | Acc: 90.527% (927/1024)              
 [===>.............................................................] 5/79   Step: 967ms | Tot: 3s862ms | Loss: 0.325 | Acc: 90.781% (1162/1280)              
 [====>............................................................] 6/79   Step: 1s71ms | Tot: 4s933ms | Loss: 0.323 | Acc: 91.016% (1398/1536)              
 [====>............................................................] 7/79   Step: 970ms | Tot: 5s904ms | Loss: 0.321 | Acc: 90.960% (1630/1792)              
 [=====>...........................................................] 8/79   Step: 982ms | Tot: 6s886ms | Loss: 0.319 | Acc: 91.016% (1864/2048)              
 [======>..........................................................] 9/79   Step: 973ms | Tot: 7s860ms | Loss: 0.307 | Acc: 91.536% (2109/2304)              
 [=======>.........................................................] 10/79   Step: 1s87ms | Tot: 8s947ms | Loss: 0.313 | Acc: 91.250% (2336/2560)              
 [========>........................................................] 11/79   Step: 965ms | Tot: 9s913ms | Loss: 0.311 | Acc: 91.264% (2570/2816)              
 [=========>.......................................................] 12/79   Step: 962ms | Tot: 10s876ms | Loss: 0.315 | Acc: 91.243% (2803/3072)              
 [=========>.......................................................] 13/79   Step: 963ms | Tot: 11s840ms | Loss: 0.310 | Acc: 91.346% (3040/3328)              
 [==========>......................................................] 14/79   Step: 962ms | Tot: 12s802ms | Loss: 0.312 | Acc: 91.406% (3276/3584)              
 [===========>.....................................................] 15/79   Step: 1s69ms | Tot: 13s871ms | Loss: 0.312 | Acc: 91.380% (3509/3840)              
 [============>....................................................] 16/79   Step: 962ms | Tot: 14s833ms | Loss: 0.312 | Acc: 91.309% (3740/4096)              
 [=============>...................................................] 17/79   Step: 961ms | Tot: 15s795ms | Loss: 0.315 | Acc: 91.153% (3967/4352)              
 [=============>...................................................] 18/79   Step: 983ms | Tot: 16s779ms | Loss: 0.318 | Acc: 91.168% (4201/4608)              
 [==============>..................................................] 19/79   Step: 960ms | Tot: 17s740ms | Loss: 0.313 | Acc: 91.324% (4442/4864)              
 [===============>.................................................] 20/79   Step: 1s58ms | Tot: 18s799ms | Loss: 0.309 | Acc: 91.426% (4681/5120)              
 [================>................................................] 21/79   Step: 961ms | Tot: 19s760ms | Loss: 0.309 | Acc: 91.462% (4917/5376)              
 [=================>...............................................] 22/79   Step: 967ms | Tot: 20s727ms | Loss: 0.309 | Acc: 91.424% (5149/5632)              
 [==================>..............................................] 23/79   Step: 962ms | Tot: 21s690ms | Loss: 0.310 | Acc: 91.440% (5384/5888)              
 [==================>..............................................] 24/79   Step: 1s74ms | Tot: 22s765ms | Loss: 0.311 | Acc: 91.390% (5615/6144)              
 [===================>.............................................] 25/79   Step: 961ms | Tot: 23s726ms | Loss: 0.311 | Acc: 91.406% (5850/6400)              
 [====================>............................................] 26/79   Step: 961ms | Tot: 24s688ms | Loss: 0.311 | Acc: 91.406% (6084/6656)              
 [=====================>...........................................] 27/79   Step: 965ms | Tot: 25s653ms | Loss: 0.310 | Acc: 91.450% (6321/6912)              
 [======================>..........................................] 28/79   Step: 984ms | Tot: 26s637ms | Loss: 0.312 | Acc: 91.420% (6553/7168)              
 [=======================>.........................................] 29/79   Step: 1s69ms | Tot: 27s707ms | Loss: 0.311 | Acc: 91.406% (6786/7424)              
 [=======================>.........................................] 30/79   Step: 961ms | Tot: 28s668ms | Loss: 0.312 | Acc: 91.367% (7017/7680)              
 [========================>........................................] 31/79   Step: 963ms | Tot: 29s631ms | Loss: 0.312 | Acc: 91.394% (7253/7936)              
 [=========================>.......................................] 32/79   Step: 967ms | Tot: 30s598ms | Loss: 0.311 | Acc: 91.418% (7489/8192)              
 [==========================>......................................] 33/79   Step: 1s68ms | Tot: 31s667ms | Loss: 0.311 | Acc: 91.406% (7722/8448)              
 [===========================>.....................................] 34/79   Step: 964ms | Tot: 32s632ms | Loss: 0.313 | Acc: 91.337% (7950/8704)              
 [===========================>.....................................] 35/79   Step: 962ms | Tot: 33s594ms | Loss: 0.315 | Acc: 91.283% (8179/8960)              
 [============================>....................................] 36/79   Step: 961ms | Tot: 34s556ms | Loss: 0.314 | Acc: 91.287% (8413/9216)              
 [=============================>...................................] 37/79   Step: 962ms | Tot: 35s518ms | Loss: 0.315 | Acc: 91.258% (8644/9472)              
 [==============================>..................................] 38/79   Step: 1s83ms | Tot: 36s602ms | Loss: 0.313 | Acc: 91.314% (8883/9728)              
 [===============================>.................................] 39/79   Step: 963ms | Tot: 37s565ms | Loss: 0.313 | Acc: 91.316% (9117/9984)              
 [================================>................................] 40/79   Step: 964ms | Tot: 38s530ms | Loss: 0.314 | Acc: 91.260% (9345/10240)              
 [================================>................................] 41/79   Step: 968ms | Tot: 39s498ms | Loss: 0.315 | Acc: 91.235% (9576/10496)              
 [=================================>...............................] 42/79   Step: 1s64ms | Tot: 40s562ms | Loss: 0.315 | Acc: 91.276% (9814/10752)              
 [==================================>..............................] 43/79   Step: 964ms | Tot: 41s527ms | Loss: 0.316 | Acc: 91.234% (10043/11008)              
 [===================================>.............................] 44/79   Step: 962ms | Tot: 42s489ms | Loss: 0.317 | Acc: 91.220% (10275/11264)              
 [====================================>............................] 45/79   Step: 960ms | Tot: 43s450ms | Loss: 0.317 | Acc: 91.215% (10508/11520)              
 [=====================================>...........................] 46/79   Step: 965ms | Tot: 44s416ms | Loss: 0.317 | Acc: 91.228% (10743/11776)              
 [=====================================>...........................] 47/79   Step: 1s59ms | Tot: 45s475ms | Loss: 0.315 | Acc: 91.257% (10980/12032)              
 [======================================>..........................] 48/79   Step: 982ms | Tot: 46s457ms | Loss: 0.316 | Acc: 91.300% (11219/12288)              
 [=======================================>.........................] 49/79   Step: 964ms | Tot: 47s422ms | Loss: 0.315 | Acc: 91.366% (11461/12544)              
 [========================================>........................] 50/79   Step: 962ms | Tot: 48s384ms | Loss: 0.315 | Acc: 91.367% (11695/12800)              
 [=========================================>.......................] 51/79   Step: 962ms | Tot: 49s346ms | Loss: 0.315 | Acc: 91.383% (11931/13056)              
 [=========================================>.......................] 52/79   Step: 1s69ms | Tot: 50s416ms | Loss: 0.313 | Acc: 91.444% (12173/13312)              
 [==========================================>......................] 53/79   Step: 965ms | Tot: 51s381ms | Loss: 0.314 | Acc: 91.428% (12405/13568)              
 [===========================================>.....................] 54/79   Step: 964ms | Tot: 52s346ms | Loss: 0.315 | Acc: 91.406% (12636/13824)              
 [============================================>....................] 55/79   Step: 961ms | Tot: 53s308ms | Loss: 0.315 | Acc: 91.378% (12866/14080)              
 [=============================================>...................] 56/79   Step: 961ms | Tot: 54s269ms | Loss: 0.313 | Acc: 91.392% (13102/14336)              
